UML_ID,Parent_Com,Mill_name,RSPO_STATU,RSPO_Type,Date,Latitude,Longitude,GPS,GPS_X,GPS_Y,ISO,Country,Province,District,Confidence,Alternativ,UML_ID_1
PO1000002491,Inti Indosawit Subur,Pt Inti Indosawit Subur - Ukui Ii Mill,RSPO Certified,"RSPO Certified, IP","43438",-0.27704200000,102.11607800000,"-0.277042, 102.116078",102.11607800000,-0.27704200000,IDN,Indonesia,Riau,Indragiri Hulu,1 - Fully Verified,,PO1000002491
PO1000002520,Pt. Perkebunan Nusantara IV,Pt Perkebunan Nusantara IV - Pabatu Palm Oil Mill,RSPO Certified,"RSPO Certified, MB","43438",3.28611100000,99.10916700000,"3.286111, 99.109167",99.10916700000,3.28611100000,IDN,Indonesia,North Sumatra,Serdang Bedagai,1 - Fully Verified,Pabatu,PO1000002520
PO1000002539,Pt. Perkebunan Nusantara IV,Pt Perkebunan Nusantara IV - Dolok Ilir Palm Oil Mill,RSPO Certified,"RSPO Certified, MB","43438",3.12041700000,99.15906700000,"3.120417, 99.159067",99.15906700000,3.12041700000,IDN,Indonesia,North Sumatra,Simalungun,1 - Fully Verified,,PO1000002539
PO1000002543,Tian Siang,Tian Siang Oil Mill Air Kuning Sdn Bhd,RSPO Certified,"RSPO Certified, MB","43438",4.16140000000,101.16480000000,"4.1614, 101.1648",101.16480000000,4.16140000000,MYS,Malaysia,Perak,Batang Padang,1 - Fully Verified,,PO1000002543
PO1000002607,Inti Indosawit Subur,Pt Indo Sepadan Jaya - Tanjung Selamat Mill,RSPO Certified,"RSPO Certified, MB","43438",2.12888900000,100.00888900000,"2.128889, 100.008889",100.00888900000,2.12888900000,IDN,Indonesia,North Sumatra,Labuhan Batu,1 - Fully Verified,,PO1000002607
PO1000002608,Raja Garuda Mas,Pt Gunung Melayu - Gunung Melayu Ii Mill,RSPO Certified,"RSPO Certified, MB","43438",2.74944400000,99.46972200000,"2.749444, 99.469722",99.46972200000,2.74944400000,IDN,Indonesia,North Sumatra,Asahan,1 - Fully Verified,,PO1000002608
PO1000002609,London Sumatra Indonesia,Pt Saudara Sejati Luhur - Gunung Melayu I Mill,RSPO Certified,"RSPO Certified, MB","43438",2.79166700000,99.59833300000,"2.791667, 99.598333",99.59833300000,2.79166700000,IDN,Indonesia,North Sumatra,Asahan,1 - Fully Verified,,PO1000002609
PO1000002651,Pt Salim Ivomas Pratama Tbk,Pt Salim Ivomas Pratama Tbk - Napal Mill,RSPO Certified,"RSPO Certified, IP","43438",-0.67747200000,101.91358300000,"-0.677472, 101.913583",101.91358300000,-0.67747200000,IDN,Indonesia,Riau,Indragiri Hulu,1 - Fully Verified,,PO1000002651
PO1000002653,Indofood Agri,Pt Salim Ivomas Pratama Tbk - Lubuk Raja Mill,RSPO Certified,"RSPO Certified, MB","43438",0.12630000000,102.12624700000,"0.1263, 102.126247",102.12624700000,0.12630000000,IDN,Indonesia,Riau,Pelalawan,1 - Fully Verified,,PO1000002653
PO1000002669,Hindoli,Cargill-Hindoli-Plasma,Not RSPO Certified,,"43438",-2.54981100000,103.94396700000,"-2.549811, 103.943967",103.94396700000,-2.54981100000,IDN,Indonesia,South Sumatra,Musi Banyuasin,2 - High Confidence,,PO1000002669
PO1000002676,Goodhope Asia Holdings Ltd.,Pt Agro Indomas - Sungai Purun,RSPO Certified,"RSPO Certified, MB","43438",-2.52425200000,112.41680000000,"-2.524252, 112.4168",112.41680000000,-2.52425200000,IDN,Indonesia,Central Kalimantan,Seruyan,1 - Fully Verified,,PO1000002676
PO1000002677,Goodhope Asia Holdings Ltd,Pt Agro Indomas - Terawan,RSPO Certified,"RSPO Certified, MB","43438",-2.55995700000,112.37360000000,"-2.559957, 112.3736",112.37360000000,-2.55995700000,IDN,Indonesia,Central Kalimantan,Seruyan,1 - Fully Verified,,PO1000002677
PO1000002706,Boustead Plantations Berhad,Boustead Gradient Sdn Bhd - Boustead Nak Business Unit,RSPO Certified,"RSPO Certified, IP","43438",5.90012600000,117.85423300000,"5.900126, 117.854233",117.85423300000,5.90012600000,MYS,Malaysia,Sabah,Sandakan,1 - Fully Verified,,PO1000002706
PO1000002746,Compañia Industrial Aceitera Coto Cincuenta Y Cuatro S.A,Compañia Industrial Aceitera Coto Cincuenta Y Cuatro S.A - Coto 54 Mill,RSPO Certified,"RSPO Certified, MB","43438",8.62979900000,-83.00299200000,"8.629799, -83.002992",-83.00299200000,8.62979900000,CRI,Costa Rica,Puntarenas,Golfito,1 - Fully Verified,,PO1000002746
PO1000002766,Compaãia Industrial Aceitera Coto Cincuenta Y Cuatro S.A,Latin America Agrialim S.A,RSPO Certified,"RSPO Certified, MB","43438",9.53378100000,-84.28396300000,"9.533781, -84.283963",-84.28396300000,9.53378100000,CRI,Costa Rica,Puntarenas,Parrita,1 - Fully Verified,,PO1000002766
PO1000002767,Compañia Industrial Aceitera Coto Cincuenta Y Cuatro S.A,Compañia Industrial Aceitera Coto Cincuenta Y Cuatro S.A - Naranjo Mill,RSPO Certified,"RSPO Certified, IP","43438",9.40719000000,-84.08597100000,"9.40719, -84.085971",-84.08597100000,9.40719000000,CRI,Costa Rica,Puntarenas,Aguirre,1 - Fully Verified,,PO1000002767
PO1000002779,Olam International Ltd,Olam International Ltd,RSPO Certified,"RSPO Certified, MB","43438",-0.02198700000,10.19772700000,"-0.021987, 10.197727",10.19772700000,-0.02198700000,GAB,Gabon,Estuaire,Komo,3 - Low Confidence,,PO1000002779
PO1000002799,Kwantas Corporation Berhad,Kwantas Corporation Berhad,RSPO Certified,"RSPO Certified, MB","43438",5.21299120000,118.06442260000,"5.2129912, 118.0644226",118.06442260000,5.21299120000,MYS,Malaysia,Sabah,Kinabatangan,1 - Fully Verified,,PO1000002799
PO1000002813,"Trang Palm Oil  Co.,Ltd","Trang Palm Oil  Co.,Ltd",Not RSPO Certified,,"43438",7.55550000000,99.43891700000,"7.5555, 99.438917",99.43891700000,7.55550000000,THA,Thailand,Trang,Sikao,1 - Fully Verified,,PO1000002813
PO1000002863,Kresna Duta Agroindo,Pt. Kresna Duta Agroindo - Pelakar Palm Oil Mill,Not RSPO Certified,,"43438",-2.18527800000,102.64222200000,"-2.185278, 102.642222",102.64222200000,-2.18527800000,IDN,Indonesia,Jambi,Sarolangun,2 - High Confidence,,PO1000002863
PO1000002872,Naturaceites,Naturaceites S.A.,RSPO Certified,"RSPO Certified, IP","43438",15.34480000000,-89.29180000000,"15.3448, -89.2918",-89.29180000000,15.34480000000,GTM,Guatemala,Izabal,El Estor,1 - Fully Verified,,PO1000002872
PO1000002895,Kuala Lumpur Kepong Berhad,Pt Steelindo Wahana Perkasa Pom,RSPO Certified,"RSPO Certified, IP","43438",-2.72350300000,108.06265600000,"-2.723503, 108.062656",108.06265600000,-2.72350300000,IDN,Indonesia,Bangka-Belitung,Belitung Timur,1 - Fully Verified,,PO1000002895
